Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,10,6,5,1902,1835,2108,2033,UA,737,,126,118,,35,27,PHX,SFO,651,,,0,,0,,,,,
1989,8,18,5,1635,1635,1809,1751,AA,217,,94,76,,18,0,LIT,DFW,304,,,0,,0,,,,,
1989,5,17,3,1130,1130,1331,1316,AA,139,,121,106,,15,0,ORD,TUL,585,,,0,,0,,,,,
1989,1,11,3,1648,1647,1759,1745,AA,217,,71,58,,14,1,SAT,DFW,247,,,0,,0,,,,,
1989,1,29,7,1425,1425,1520,1520,EA,356,,55,55,,0,0,TLH,ATL,223,,,0,,0,,,,,
1989,9,18,1,1840,1840,2105,2046,UA,1506,,145,126,,19,0,MCO,IAD,758,,,0,,0,,,,,
1989,4,16,7,1616,1620,1729,1725,NW,286,,73,65,,4,-4,DTW,BUF,240,,,0,,0,,,,,
1989,8,31,4,1618,1535,1723,1623,DL,1033,,65,48,,60,43,PNS,BTR,236,,,0,,0,,,,,
1989,9,3,7,1557,1600,1718,1720,US,1037,,81,80,,-2,-3,BOS,BWI,370,,,0,,0,,,,,
1989,4,21,5,646,648,739,744,AA,1351,,53,56,,-5,-2,SHV,DFW,190,,,0,,0,,,,,
1989,12,6,3,2138,2115,2312,2307,CO,75,,94,112,,5,23,DEN,PHX,602,,,0,,0,,,,,
1989,1,1,7,1333,1320,1443,1426,DL,1626,,70,66,,17,13,SDF,ATL,321,,,0,,0,,,,,
1989,5,27,6,1835,1835,1919,1943,AA,193,,104,128,,-24,0,DFW,DEN,641,,,0,,0,,,,,
1989,5,20,6,2015,2015,24,20,DL,916,,189,185,,4,0,DFW,LGA,1389,,,0,,0,,,,,
1989,3,23,4,800,800,840,843,DL,91,,100,103,,-3,0,MCO,MSY,550,,,0,,0,,,,,
1989,5,30,2,705,705,811,805,WN,651,,66,60,,6,0,IND,STL,229,,,0,,0,,,,,
1989,11,27,1,1300,1300,1540,1550,CO,1843,,220,230,,-10,0,EWR,IAH,1400,,,0,,0,,,,,
1989,7,23,7,1801,1755,1913,1910,US,2687,,72,75,,3,6,SNA,SFO,372,,,0,,0,,,,,
1989,11,16,4,1347,1345,1810,1721,CO,1074,,203,156,,49,2,IAH,CLE,1091,,,0,,0,,,,,
1989,7,7,5,1247,1247,1633,1630,AA,214,,166,163,,3,0,ABQ,ORD,1118,,,0,,0,,,,,
1989,7,27,4,2138,1950,2315,2127,NW,359,,157,157,,108,108,DCA,MSP,931,,,0,,0,,,,,
1989,4,5,3,601,601,648,656,UA,602,,47,55,,-8,0,IND,ORD,177,,,0,,0,,,,,
1989,8,22,2,1024,955,1156,1140,US,55,,212,225,,16,29,PIT,ABQ,1486,,,0,,0,,,,,
1989,12,24,7,1000,1000,1526,1555,AA,1303,,206,235,,-29,0,BNA,SJU,1753,,,0,,0,,,,,
1989,10,15,7,1955,1955,2250,2251,CO,747,,175,176,,-1,0,EWR,PBI,1024,,,0,,0,,,,,
1989,12,1,5,1436,1435,1800,1749,AA,215,,264,254,,11,1,BOS,DFW,1562,,,0,,0,,,,,
1989,10,7,6,1132,1115,1304,1248,UA,1231,,92,93,,16,17,SFO,SAN,447,,,0,,0,,,,,
1989,6,10,6,1903,1905,2101,2106,AA,1496,,118,121,,-5,-2,SJC,SEA,697,,,0,,0,,,,,
1989,3,5,7,1425,1425,1447,1439,UA,262,,82,74,,8,0,CMH,ORD,296,,,0,,0,,,,,
1989,8,8,2,1448,1435,1555,1539,NW,516,,67,64,,16,13,CVG,DTW,229,,,0,,0,,,,,
1989,6,2,5,1355,1350,1508,1505,US,3,,73,75,,3,5,ONT,SFO,363,,,0,,0,,,,,
1989,11,9,4,615,615,727,731,DL,859,,72,76,,-4,0,BTR,DFW,383,,,0,,0,,,,,
1989,7,25,2,830,830,1140,1141,UA,202,,130,131,,-1,0,ORD,BOS,867,,,0,,0,,,,,
1989,9,23,6,611,611,705,700,TW,432,,54,49,,5,0,SGF,STL,195,,,0,,0,,,,,
1989,8,20,7,758,800,1110,1054,CO,1150,,132,114,,16,-2,IAH,ATL,689,,,0,,0,,,,,
1989,12,19,2,1536,1535,1635,1632,UA,257,,119,117,,3,1,MSP,DEN,680,,,0,,0,,,,,
1989,12,17,7,1831,1825,1934,1920,CO,958,,123,115,,14,6,GUM,ROR,813,,,0,,0,,,,,
1989,6,20,2,754,754,1008,1005,TW,390,,134,131,,3,0,SAT,STL,786,,,0,,0,,,,,
1989,6,28,3,711,713,819,825,AA,637,,68,72,,-6,-2,PIT,RDU,328,,,0,,0,,,,,
1989,9,20,3,1929,1900,2006,1941,US,97,,37,41,,25,29,ERI,PIT,109,,,0,,0,,,,,
1989,12,13,3,1643,1635,1952,1943,DL,394,,129,128,,9,8,SAT,ATL,874,,,0,,0,,,,,
1989,11,30,4,635,635,1238,1235,AA,1140,,243,240,,3,0,ONT,ORD,1700,,,0,,0,,,,,
1989,7,9,7,1510,1510,1723,1730,AS,101,,193,200,,-7,0,SEA,ANC,1449,,,0,,0,,,,,
1989,7,19,3,1912,1912,2010,2010,TW,557,,58,58,,0,0,STL,SGF,195,,,0,,0,,,,,
1989,4,5,3,1900,1900,1946,1942,DL,677,,46,42,,4,0,CHA,ATL,106,,,0,,0,,,,,
1989,3,20,1,900,900,1109,1048,DL,299,,129,108,,21,0,IAD,ATL,533,,,0,,0,,,,,
1989,12,25,1,946,945,1225,1220,US,234,,99,95,,5,1,ORD,BWI,622,,,0,,0,,,,,
1989,7,2,7,2011,2010,2111,2111,PI,1516,,60,61,,0,1,ATL,CLT,227,,,0,,0,,,,,
1989,11,3,5,1815,1715,1919,1810,DL,691,,64,55,,69,60,SHV,DFW,190,,,0,,0,,,,,
1989,3,5,7,,2007,,2147,EA,115,,,100,,,,ATL,FLL,581,,,1,,0,,,,,
1989,7,2,7,1703,1705,1805,1809,PI,1901,,62,64,,-4,-2,LGA,ROC,254,,,0,,0,,,,,
1989,8,31,4,1907,1800,,1932,AA,377,,,152,,,67,LGA,ORD,733,,,0,,1,,,,,
1989,2,8,3,1946,1946,2232,2235,DL,1886,,106,109,,-3,0,SLC,BIS,696,,,0,,0,,,,,
1989,3,31,5,1916,1850,2054,2025,DL,711,,98,95,,29,26,ATL,PBI,545,,,0,,0,,,,,
1989,6,24,6,623,600,848,825,PI,1177,,85,85,,23,23,PNS,CLT,488,,,0,,0,,,,,
1989,11,8,3,836,835,1401,1350,AA,1274,,205,195,,11,1,SMF,DFW,1431,,,0,,0,,,,,
1989,10,22,7,758,800,911,915,AA,1450,,73,75,,-4,-2,LAX,SJC,308,,,0,,0,,,,,
1989,3,4,6,2107,2045,2217,2201,AA,422,,70,76,,16,22,RDU,PHL,336,,,0,,0,,,,,
1989,7,14,5,1052,1050,1153,1154,US,80,,61,64,,-1,2,ONT,PHX,325,,,0,,0,,,,,
1989,12,8,5,1840,1829,2005,1957,AA,983,,85,88,,8,11,ORD,MSP,334,,,0,,0,,,,,
1989,12,26,2,1329,1315,1529,1515,WN,940,,60,60,,14,14,SAN,PHX,304,,,0,,0,,,,,
1989,11,5,7,1050,1050,1201,1155,WN,380,,71,65,,6,0,MSY,HOU,303,,,0,,0,,,,,
1989,11,7,2,2349,2349,122,135,DL,599,,93,106,,-13,0,ATL,MIA,595,,,0,,0,,,,,
1989,12,22,5,1820,1657,1914,1759,AA,207,,114,122,,75,83,ATL,ORD,606,,,0,,0,,,,,
1989,9,17,7,938,935,1133,1129,TW,443,,235,234,,4,3,STL,LAX,1593,,,0,,0,,,,,
1989,10,4,3,804,755,929,920,US,1055,,85,85,,9,9,CLE,CLT,430,,,0,,0,,,,,
1989,7,24,1,620,620,859,857,DL,1168,,99,97,,2,0,SAN,SLC,626,,,0,,0,,,,,
1989,3,21,2,1357,1400,1622,1640,UA,432,,85,100,,-18,-3,ORD,BWI,622,,,0,,0,,,,,
1989,10,23,1,1842,1840,2043,2042,US,91,,301,302,,1,2,PHL,LAS,2176,,,0,,0,,,,,
1989,4,8,6,817,805,949,948,PI,1522,,92,103,,1,12,CLT,LGA,544,,,0,,0,,,,,
1989,3,28,2,1848,1745,1953,1905,UA,976,,65,80,,48,63,STL,ORD,258,,,0,,0,,,,,
1989,3,19,7,1530,1510,1607,1558,PI,1027,,37,48,,9,20,GRR,DAY,217,,,0,,0,,,,,
1989,9,29,5,2102,1927,2232,2109,US,1400,,90,102,,83,95,CLT,LGA,544,,,0,,0,,,,,
